p1_0,p1_1,p1_2,p1_3,p2_0,p2_1,p2_2,p2_3,an_event
14467,16623,11175,17139,8902,23775,17507,3295,-1037099041
23418,17566,31260,26355,31411,30518,9638,31503,-1864105743
26573,18814,15403,2263,14206,26517,9841,6270,-574364607
5448,25411,25109,9189,9120,7436,6846,25401,-1089185424
9901,16720,5330,4377,24297,304,26148,12798,80164837
21172,9680,14264,2415,14498,7444,13291,19360,-2929832
26049,9958,7022,3758,22440,21183,24723,3683,372257388
31438,3689,11993,8667,1317,12499,31124,17991,-1067840436
28432,27957,29500,10276,17286,10378,4578,4649,36977648
1873,5617,14068,10257,22833,17776,1108,24082,-639377062
23820,31386,32299,3996,16261,22778,22651,3528,-2146586713
17139,29179,9432,1148,14841,20496,27716,30534,-1280360917
31875,2560,4400,9438,5757,14380,29240,8526,-124914190
9595,27719,462,6928,17280,1922,29692,9508,65846962
944,24586,31384,23294,16694,420,25511,19285,-2488902092
27416,32041,6957,22462,21715,6812,4312,28165,-571166994
24126,2383,19295,3427,17756,16571,23243,32144,-339490517
10009,21508,28691,7264,13801,13385,2488,9777,-584327269
23090,18972,17875,21982,2920,1833,30909,9223,-1445203232
16629,1840,5421,8684,25428,20605,29339,32266,-108677076
30343,23496,12716,14079,4805,15596,6415,6759,-794779569
27850,29432,11239,22588,27010,23651,27295,22187,-1503623032
20447,13993,26010,16261,28434,7074,31188,15756,-1170030935
22788,18374,12006,9587,32642,32380,16072,23105,-531175904
18310,24189,30348,27535,15999,20675,29000,29578,-3803405282
24791,23841,27442,2222,24195,4247,17697,31619,-114718904
9949,17690,6124,6096,32044,23661,17293,3831,-458080172
9396,2331,19376,1684,1450,14082,17320,5712,-728875567
9167,3933,22059,5615,10359,8894,24445,19394,-1176333620
19519,3381,6954,16100,6767,28799,29564,14848,-819884548
18817,463,11918,30436,5366,2116,10253,20572,-1296694629
5954,24560,2219,16431,32519,29578,22262,18207,-1762759874
1339,2508,26509,1815,29382,13107,27930,31878,-1583617932
3062,25888,8367,9342,23820,8942,26546,10345,-954653588
12612,25473,12457,31121,27196,30780,4407,31368,-2944367118
11887,18856,13376,777,22483,4728,31771,13568,-514838076
12409,2627,6393,20848,16950,20096,1873,27094,-838633788
6076,11054,27732,8894,26635,9685,4366,3976,-203379018
4845,26702,18717,32651,23025,27463,9510,23009,-3102092414
1399,4390,20119,18029,242,1130,31423,16858,-1881532440
30472,29514,17952,386,6524,18314,29183,28343,-1753141382
919,12230,29929,1382,27310,26904,1962,15083,-767047007
30339,7942,10731,8080,8866,11881,15954,24141,-383322360
26492,20504,17701,14511,28020,19886,11964,17557,-264000555
21018,5806,4053,28734,5371,25893,26965,10868,-918062918
25796,3448,27755,11477,10675,16723,32555,32646,-2121098747
3765,31211,13506,5595,7014,18012,27363,32309,-2172237711
24121,7100,6892,26974,32371,29572,16457,9985,376163976
17275,2365,14511,9298,20322,30541,11187,31175,-346782652
16282,19732,2177,11721,28392,28984,20091,18108,-731259679
27025,27691,7582,17036,9915,13988,8851,9978,-712993104
7934,25921,23840,3937,30861,30539,11108,8446,-1689645478
14077,6897,1952,26814,26265,19067,30222,28801,-1186100215
8265,1219,3453,87,1279,16066,12524,30828,-109921895
9646,10396,16309,17851,31263,10508,301,16542,-215792344
15771,24440,8082,6027,5725,9217,24974,19547,-909281915
1737,18634,8628,17270,10020,4372,31562,4609,-831990114
29969,17414,27762,14882,25238,12036,30237,1202,-621172706
1193,10711,1319,23404,22095,32028,31052,27618,-2008087944
4290,8173,26910,8547,22696,21734,1681,22590,-637196667
7380,22831,30588,19075,13858,11829,2505,4625,-665313059
4159,16824,1472,6143,3429,25164,10851,30835,-1229013037
25967,8590,2227,11234,30621,25124,25449,1808,1004613056
20487,19072,28691,23908,23880,9634,20743,5277,-831649816
26690,23886,20611,32716,26182,31583,22396,759,-1084084021
3376,8655,21005,28156,29196,27826,10148,13109,-1449055645
11020,14184,31929,32634,5087,28026,24642,5712,-2629334112
711,10170,29329,6338,23569,27081,1456,29349,-974783801
1391,29518,31800,30124,17623,30619,29352,1918,-3740989729
8593,30144,9959,32197,26638,15566,25270,7230,-1449553501
7267,12490,14346,23638,9080,31934,13599,3263,-1210231581
409,4188,2628,19932,2770,28777,24689,16037,-1007866090
31477,17431,7304,28048,4677,29074,9689,20229,-1995467619
25108,26770,3677,27430,26985,6735,15231,24058,-437377984
13234,15714,6215,1755,30083,679,8112,14384,623552374
18001,7013,16989,7299,602,27290,28220,9286,-1455522414
8589,2576,735,8723,32188,8295,26157,28118,-18832741
27484,29725,19898,1224,1578,1470,25559,7773,-1036880621
9012,9808,10264,14238,32259,24523,14234,29614,-1035123772
28130,6622,25814,25684,1555,18273,10899,3708,-907745333
24325,3248,10535,11149,9649,11433,11556,12846,-134796351
3931,14245,30150,17216,30928,23244,9910,15917,-1564711337
15827,2240,12174,19105,7608,19488,1428,12507,-359190463
15309,21522,10390,18940,342,30798,30440,17597,-2614338336
15609,15545,13565,10284,16690,31580,27392,19305,-1601018462
15355,13269,1921,5596,12560,4455,18715,5707,131675688
32257,6846,7262,5110,24297,4218,11170,6466,1281368988
23082,2164,24741,15436,21631,17927,14343,11599,-146824831
84,9299,8864,29421,6019,6139,17795,4237,-677996930
15876,3816,27292,22031,31837,31379,15044,13256,-633850907
9626,28139,27142,8212,9844,18047,14188,30589,-2098716335
7902,3585,28212,18281,10235,23331,1694,5809,-313543095
13864,23340,29834,26729,26262,2084,10954,8973,-502425934
10765,928,23382,21889,6461,7404,4787,16955,-840783783
31804,26806,9027,32147,18184,28506,28501,27735,-2669397082
24458,32628,32618,28460,25976,27129,17818,28072,-3259943175
1654,25571,24452,31941,21885,13213,5005,31453,-2857410890
6251,11868,20949,8985,31503,18050,32303,15480,-1666241197
10049,3220,83,20639,16143,30955,20501,5820,-118581166
18608,9164,25423,10043,30554,16438,13351,21653,-277979646
10058,22262,6766,22326,2894,15515,22879,7062,-1257550776
16949,14927,29284,6326,4869,2485,22614,5954,-1308951344
1742,28958,3816,8565,895,2506,7809,17017,-493163602
23362,7265,28143,7840,28176,27604,23630,20071,-729361705
13197,16807,32572,32089,14180,27737,6061,19496,-2204165603
22508,26526,21310,23676,5223,27620,11585,17474,-2551381170
32418,7645,20532,9218,1463,1436,5304,12504,-375442142
19067,23363,29356,2153,1160,29568,14452,16087,-2255192024
4000,19218,3936,19364,1365,9695,22003,28987,-1657534346
26530,13111,9977,16843,2825,13705,11490,1894,-502569407
5208,21995,1635,30258,2416,31880,21683,28646,-3181713821
25345,2380,14211,30293,23828,20978,23456,26566,-1168231685
20123,2086,15942,20977,31866,31980,6073,25334,-107476377
29033,7204,8402,21343,16282,15871,16275,10896,-21844420
9867,10777,31788,31643,23964,17920,11964,30782,-2622058077
27704,30023,24413,802,24483,5767,7526,23620,604898046
9535,16273,681,4081,18740,23481,22665,18927,-592199873
8041,14279,32085,23058,31245,12055,13498,1935,-797215948
26196,610,18881,19505,31349,11729,14118,11850,632689836
26109,10904,14452,2334,3591,30414,3783,10596,-634616319
27731,5122,3814,21854,7219,11746,11149,26036,-943013871
10850,13168,6949,7461,16949,203,9527,22771,-109772154
10588,19522,21907,3450,12388,20827,11460,27103,-1239985243
30200,14286,4208,17363,8353,30502,17569,211,-522179398
14989,9022,17419,31229,16167,31609,10627,13732,-1313627082
27158,6053,12872,6501,22174,8246,24826,16189,254934229
23472,21801,7480,2349,8815,6526,32634,16643,-437136920
25594,11491,28044,9336,19569,159,22919,9540,-465582014
27248,10158,24008,11174,25621,28072,19541,3693,-194915191
11844,14388,21393,32492,17188,13537,14541,3464,-829679371
6361,3238,32002,22749,10585,12852,1037,27577,-1269679969
13771,28846,17963,1778,27845,9310,24712,28675,-760001142
29090,20189,671,974,3096,14820,26442,11196,-475618552
2023,630,22166,1985,20502,9879,25034,4980,-1059097107
15197,29463,12791,17523,20209,29867,7283,7566,-1597213327
14555,32606,1313,2579,9891,19910,13558,15481,-1125942365
13607,3236,13274,24942,17868,4491,20702,18029,-991805925
8206,25518,1444,30407,22864,31559,16755,27656,-2965678003
15994,11931,29374,32698,1412,4754,17145,6427,-1495834793
19379,4733,4225,4170,15131,2214,9271,11691,389608770
2466,22820,11922,16435,32053,14783,2790,6612,-800510317
14364,5806,20774,27964,9346,32203,5466,14448,-1140633055
2763,12172,5043,23609,27410,14759,25182,6146,-752050252
24080,24316,406,26131,9159,25767,27037,18839,-1818574119
26486,29912,11673,2420,12791,19147,23467,4715,-1038593663
22544,2943,23932,8768,25730,8886,27743,191,-223451355
22673,16110,22487,1549,17243,14991,2261,17861,141843709
18549,17357,10353,4490,27232,1084,1320,26760,704972135
3982,18330,13667,739,18607,30040,9990,11954,-1243860989
8078,32138,15831,7347,14268,30972,23109,31087,-2948757018
20458,4933,28251,12858,19778,22728,7492,17498,-288309154
13693,7131,11780,21699,27984,24847,4584,1915,220867241
10892,8380,18000,19210,13410,11977,13659,30277,-1563602311
2453,28266,11832,18282,13918,5385,18802,27597,-1690134607
7297,317,13364,18437,28067,30038,24247,18139,-926390726
32061,1789,12484,16496,6734,32520,16064,30533,-1093004069
31769,8622,17582,9802,14718,1801,2965,14510,515360923
8443,15524,15906,10194,23212,26918,27048,26869,-1852062816
17316,18530,1148,6979,28307,13997,11236,23408,109056747
11218,14143,18509,1430,12293,4514,14630,1622,-398118219
11497,17266,57,16082,23777,8993,13607,14485,-231314798
23971,21242,8471,5205,32540,6102,1098,31430,954986125
15905,12497,15697,20687,26161,22305,31994,9944,-1141205316
26485,21097,16323,10928,25819,32230,844,26755,-604628439
27766,26306,4548,2017,3145,31843,15012,19135,-1714422954
1265,19735,9618,32119,30125,26225,26847,26618,-3185212260
7262,1909,7567,22634,4879,2757,29239,13727,-1003608922
11001,32277,3035,12482,25471,9916,20797,13518,-543442469
13981,6066,18724,25036,6563,19937,6100,6728,-623703835
18914,14705,13669,10671,16160,17024,29948,2692,-765574969
3105,27727,5904,28752,180,21189,31079,11717,-2214655793
29656,5193,12968,6246,29683,27007,26180,3442,758012555
12935,11686,12407,11249,25051,11407,9967,6062,-2272024
15237,18715,30820,26023,29376,18827,12746,1771,-687358973
16649,2597,18807,29658,14593,28199,16233,1562,-363844860
26084,4611,14007,17476,18586,23450,6240,23075,-228008363
6164,23217,20713,29412,27395,25736,14294,27589,-3072384610
20550,4536,32515,31280,18213,20240,6509,20941,-1168446362
3916,21029,13099,12480,13737,20916,22231,65,-1356164437
28766,2216,28767,8711,20162,30771,19023,2484,-114203298
1032,5795,28444,16337,17614,11176,29567,24622,-2579730097
13906,32577,1265,11676,20836,21148,1527,19852,-1265877107
23083,14923,20737,12598,26441,28656,16092,26251,-963432731
13593,5368,28196,22198,12045,3698,31844,28020,-2751988052
9866,2358,21389,21252,27075,30408,17659,3738,-523490831
25440,31272,12727,26928,10817,2659,13338,11720,-586665005
26347,1393,27524,17441,28018,27217,10687,5524,619533181
25842,18331,9062,931,10272,23471,29934,11687,-893892650
13056,12498,802,12748,12228,27295,15908,21959,-948375920
19025,711,26781,26508,3726,22017,10926,7745,-885408163
22409,18199,29597,29649,9602,10172,11333,8433,-1110811690
8702,29865,13651,8234,7469,9062,15840,1226,-863954541
1380,454,11839,32252,8038,14552,25164,217,-600898976
29613,826,32503,28878,16867,29302,22776,28299,-2164489606
7923,15083,18284,14297,20272,12127,20612,22028,-1428249232
31083,21104,28511,12971,9642,20474,8768,17171,-1210214378
14989,11694,13933,18045,8651,7784,8136,18950,-833389454
21895,24571,32332,32468,25570,29890,2017,21313,-1863572470
29015,3318,24351,27765,22404,17058,28309,84,-196514082
22541,32121,8508,19301,16761,4006,25684,26211,-950609965
11686,4902,11486,15230,25147,954,23201,32437,-942650087
4287,22116,14130,25874,9168,21954,7044,31165,-2704263336
597,30591,1146,4206,14326,6528,15959,13419,-531783794
9460,31466,9808,28519,108,20756,18284,6548,-2036326921
19642,9794,28495,30865,26295,10205,69,24195,-664452600
15395,6916,2489,26322,26351,1573,9879,6115,418454386
6475,28412,3757,24734,31894,1309,17279,6789,-127042809
19136,21452,25674,6604,744,1918,9367,11721,-689632190
31247,9720,26511,17700,23680,7496,3538,26074,223481438
19713,684,6069,18550,26102,10684,10623,3048,772426389
8551,31269,15210,27590,5681,25861,22138,24505,-3545797133
28173,15682,4095,19646,29739,8209,19915,29262,105308491
32280,8629,15851,31299,23128,18676,5134,3526,787345595
3038,12146,15940,9049,8799,4029,8282,25144,-763539323
3968,30193,24645,28856,22078,25616,27266,29187,-4400056175
2184,20034,26123,9640,6708,14720,29536,19157,-2472993390
24285,30840,3224,1343,4658,24327,3420,10498,-1324538895
10447,19824,16145,31699,32677,20594,31513,11001,-1848794714
15596,22925,23238,601,9911,1052,12349,28909,-347812101
14197,6681,27465,21059,12755,17685,24233,30761,-2500878272
17131,26576,9734,32748,17241,19705,22894,5179,-1241602296
30486,23306,2557,19575,32284,14714,872,1141,1233397973
25619,20776,4899,12172,32497,5302,28916,9180,937958535
26130,23443,26915,25730,9623,5760,7513,25609,-1489460951
17859,7023,20970,31404,16703,8153,8351,11929,-617447742
23701,25428,7196,29214,165,14898,11306,30925,-2719482405
21250,25477,26034,28174,14485,374,13640,18141,-1135895095
7912,30805,5241,25382,11632,13244,18535,16972,-1687758491
26019,6793,4584,28146,30592,4678,18203,13239,616251020
20148,21084,9391,9481,733,16121,18262,17360,-1322452578
7681,27042,1175,6239,21119,9793,29904,5771,-347532588
32396,26250,18973,30907,28919,4534,521,25697,27467877
29840,31523,16576,3670,21200,11620,16739,24176,-199803188
31501,1191,23085,27937,23564,26872,31588,26131,-1497920657
26252,28544,1405,29595,24915,10656,13971,28840,-1046527042
11306,28668,13472,20477,32688,27808,17174,9853,-1721559248
30216,7918,30386,18560,7905,2416,24090,24942,-1950421887
11647,30811,1260,23167,7509,17851,26963,16602,-1762315530
3751,1538,30640,21768,29382,5284,10688,4914,-664760903
17342,30280,27211,21827,19859,4706,30173,28454,-2480432248
1838,12807,28983,13397,11040,23321,23723,5682,-2084175759
13240,27279,843,2836,702,5301,14964,2454,-309801947
29277,22420,11197,6959,26159,10606,287,19675,775871210
17634,10035,21233,30493,881,18479,18783,4735,-1426232191
20135,24845,22487,22768,3477,12779,10172,19199,-1826720050
2645,40,12749,15952,4964,14942,11358,7067,-490017113
19821,28064,20491,9547,18142,2914,5038,22418,-78912847
32327,5172,17463,28660,17018,843,5410,8705,403594540
14864,21294,29444,8067,29649,17501,2483,2173,-45220559
31210,3541,14872,19592,15708,24822,30436,22782,-993304623
22750,15124,789,2552,26185,1091,20576,26437,990964852
20834,18672,18638,14808,11151,25845,26278,28586,-2326702332
24035,25067,17811,27550,20769,642,88,23009,-304758221
17611,494,28466,8276,19812,4083,22161,26896,-1013103059
4506,3944,7000,24005,28041,8026,21795,30921,-1600297820
26858,24865,6658,7645,29186,22281,2064,26074,33543169
28699,12719,14705,30376,20699,11154,4611,19733,-430095972
13394,7007,8924,24509,811,21871,15011,31571,-2100265906
31506,30619,18446,20477,28110,21700,18627,4982,-448845609
14151,17403,26790,32321,18070,25136,9024,7327,-1320636388
3523,10265,30941,19546,30935,24650,4953,30659,-1793155856
31365,27651,6393,23188,5359,5649,14252,29084,-1507295933
25572,9473,1143,30464,5203,14585,14146,20990,-1321474412
6831,16911,9870,9713,3256,260,31947,3723,-667323283
26547,28332,3302,6532,1528,17259,32367,80,-1111654939
4109,22431,4618,15988,16265,7349,8142,7128,-499187154
17060,15608,22130,21985,6893,30080,25662,30374,-3175197258
9738,20486,24898,20596,23392,10349,29076,13571,-1975354244
22335,1922,23898,11505,18322,15226,606,10325,493341415
24655,6340,14757,1535,25499,22956,21598,7807,304816433
29176,22522,21465,27862,4993,19507,5173,10116,-1373136704
24652,28418,2542,27123,1509,3782,24076,26737,-1713375717
10754,30641,20185,8779,5660,15521,22617,3901,-1811009520
9552,9945,19454,27426,25390,24803,1429,30731,-1749578854
15057,3318,13500,9579,13712,12295,76,5095,231655620
17308,8577,4527,1814,15824,23729,7231,16225,16335825
13019,22237,15383,27685,20951,29638,16376,9707,-1813926594
25510,28553,5236,2443,1943,12074,19398,26176,-921403705
32114,18225,17998,27615,22587,2378,5760,15061,324845446
25009,9472,21099,7271,9913,7590,27935,23234,-1164632627
5000,16545,12955,67,3973,27432,12078,16170,-1183157548
27200,18911,22096,1635,31518,4119,13218,24537,894393058
17041,17348,2255,6516,15487,32395,22927,13444,-874768581
4798,13813,25997,2114,22195,15662,15152,3210,-1021122957
4900,3380,3069,26871,11125,1112,6104,18096,-908538077
14542,22743,10342,21430,10608,8195,5468,16051,-865296643
16013,22835,23712,14047,7247,29003,17782,24916,-2635780571
10675,3370,24503,18604,28069,10323,8365,27707,-911176718
5766,21572,26420,22647,2818,3407,20979,637,-1251931158
13994,2216,8316,31761,31937,23587,1816,1059,691807276
7934,8376,27859,4696,27946,15175,32602,16657,-1783768519
17140,4581,2270,11370,18206,21335,16581,13439,47694354
15310,7165,9524,27887,27872,24038,6124,23838,-937273312
24007,510,27582,9242,18599,20097,31391,5207,-955417521
30380,32008,18709,7939,16828,22046,27015,15504,-1645888301
28477,10113,6386,25845,12857,17805,17346,16335,-693782030
15185,12150,25016,9442,16740,18976,19264,21025,-1313601056
2535,31315,18773,22555,1034,28157,11257,31809,-3615831117
10927,1014,23397,19648,17430,28511,29593,16514,-1710636382
2780,19717,29142,13583,10838,14090,12069,7898,-1413364647
14063,16157,1522,32612,28865,24857,27427,3493,-302747442
17630,5774,30881,2176,3182,948,5502,21360,-331551205
8590,30615,7073,31681,27549,32373,28402,26391,-3582889276
15361,4062,26765,606,31364,20004,21413,30598,-382297379
6297,7378,8103,30305,10787,30534,27284,29990,-2574611814
20674,20077,11640,5434,3861,6436,9995,25267,-606103224
4339,71,19016,31293,9922,20742,8422,28868,-2043899005
1324,21068,12381,6384,2921,21351,2627,6728,-1042914970
4002,32263,19269,19429,26534,1410,20296,15309,-1255682544
9517,11652,3352,14658,23756,25669,16129,24868,-983219721
27630,2434,4845,14850,19943,132,2271,17145,570174420
2380,14984,7413,7348,26732,22102,9961,27486,-1086767220
8719,13405,30754,28545,16010,21787,5519,30654,-2394429385
3896,29334,20168,12899,6691,28568,30997,1728,-2918767945
5928,102,16528,228,6836,16340,11769,16017,-318661726
24246,1565,11214,28383,29374,6703,18408,20398,-167376283
18857,23636,31131,25571,344,27955,28022,8235,-3474387747
32682,7885,11595,8443,31021,25592,26601,16225,733173410
967,2192,8894,3305,9007,11026,5017,31200,-326427530
21302,9966,21413,8305,18560,1282,19809,17564,-374920265
23334,26896,18073,3175,23491,16287,18708,19830,-582027764
23247,5485,11159,24496,9491,31879,11875,16039,-959281047
23999,25643,24975,6610,22302,21338,26562,21452,-1634285817
31421,17159,1636,16901,9111,30724,15519,21028,-1243445221
1123,9827,8062,22278,6844,13304,29070,19306,-1575060298
12857,13079,19113,8326,10532,20604,14549,1845,-855058113
22145,8197,10897,12547,13279,4797,4099,21285,-114027582
949,26341,25799,29306,6490,740,28419,2266,-1625906540
26044,21333,2848,5748,2958,293,26164,86,-8482624
27177,32362,11894,18456,23918,12558,22839,15396,-624387950
25110,10990,30586,9610,28556,31851,17974,17637,-704502408
24750,24071,25160,25626,3787,18990,25656,22491,-3170523799
16605,16183,22758,28169,6160,2079,4420,26201,-1540053069
8539,18419,2673,21160,29205,17232,7289,565,-198935254
31677,10095,27206,21474,13769,26028,14549,31757,-1808755161
5716,22841,14049,3575,19877,15814,5069,9046,-702335355
32409,18792,19613,5921,5774,6985,25097,24049,-1157548894
24256,32015,8077,7022,7667,2771,22766,2240,-204734478
14553,19757,31001,14257,11774,16303,9970,12661,-1280695056
22676,19303,19337,27295,16934,29013,6659,10741,-1195979632
9022,10400,1853,7602,3782,11100,25899,32197,-748162615
1879,16225,28919,19247,28111,5587,8521,28266,-1656581135
25900,31203,25387,18489,30996,26875,7598,7946,-751195710
20797,30596,26582,13938,7310,8212,18128,21641,-1765520530
3620,2787,19231,15366,5483,25079,4246,23857,-996620685
2940,13500,31789,10080,11770,19257,31901,23946,-2961728703
20540,19643,27687,28656,15100,22977,6016,10619,-1224124428
31114,10636,17104,7888,21404,27547,6355,31892,25401598
29595,26412,23074,27600,4828,32135,5257,2261,-1779176182
27227,14098,9470,28014,7329,5184,4250,26786,-1328369848
31129,25854,26336,19273,9510,5417,26429,1349,-1132129153
21303,8070,13875,30398,27531,19794,18276,15420,-591149795
29880,1600,11547,2366,2744,6207,3396,21665,-36868435
4255,6299,16433,10423,6338,8154,13779,9847,-706948924
27738,23448,21990,861,32174,30591,5412,22341,73754765
18580,16632,4903,28819,27356,23199,23086,19286,-1093166475
4727,1740,22125,14056,22839,2733,7002,4764,-237407872
6670,28418,5255,359,12557,30416,3261,26973,-1614886711
1178,3124,3447,2605,29817,1066,10771,5760,-40699984
19518,5225,20454,6683,15477,14106,5037,20914,-28859928
3081,8000,11462,7892,19811,30157,3403,28215,-883824547
32229,12539,23576,28025,27056,22470,1897,20371,-50831119
20217,23159,22917,3190,20631,10266,5207,6616,77778825
7425,10519,21872,11490,7733,13693,22898,32546,-1922818744
16787,21900,29241,1301,19300,32563,27586,7966,-2412335216
6980,13485,20083,14921,23586,16441,31234,16969,-1875120627
1409,32460,20921,5035,27189,9873,18036,182,-1320848971
3391,29254,29886,5363,29052,10460,24718,12246,-2023771786
27699,32116,8847,27206,2497,11911,29141,25525,-2531262236
15976,12975,24245,666,32687,13358,27336,21514,-656455093
2656,5861,20496,30290,24241,13613,3496,25318,-1707892157
9954,20865,19839,27945,17558,3381,28474,32235,-2722995875
25932,991,20859,11784,17035,6123,29970,28042,-1039841448
5788,12661,18922,31568,13692,27132,27215,135,-1567005083
22766,28656,10284,11943,8947,5008,21892,31435,-1080795177
15917,16235,13725,1950,6951,19213,15820,27595,-944462186
18066,23781,5543,26044,16598,3832,12723,32443,-1413504356
2977,7482,29726,11028,21495,25045,22040,11889,-1819375898
26253,24999,8113,31363,23375,3863,14797,7787,305587206
23156,19849,22530,28953,26319,17080,22497,26282,-1994774572
28802,31122,7382,21222,22999,5085,21502,19358,-130802168
6573,26474,16359,20167,28506,6335,20627,31438,-1903608255
4447,24554,2483,2454,11032,14388,25575,24916,-857765107
1046,12040,24485,32262,20023,29825,20101,9410,-2267838030
20190,18391,30484,18074,16631,25631,6952,8593,-1005691188
13165,26801,32177,9987,31674,7747,651,23512,-92817310
8679,3780,22691,19162,21678,4514,22689,4154,-846728393
13207,8989,2943,8088,22057,25670,19477,31133,-497133836
28179,6952,29029,24738,29457,13922,17067,29686,-993109826
25752,837,8431,21966,4098,15862,1199,9197,-239757344
8584,12531,28443,27764,1615,18410,31418,26560,-3695761469
22540,5338,21669,8,2717,13630,19788,6204,-880736748
3330,31521,21794,26180,23657,18789,5723,27862,-2735295238
18348,14405,10340,17041,29215,20294,23799,16283,-559746521
3430,15908,8094,26683,2669,2663,8387,25738,-1575754656
2751,29964,30236,1089,10462,26015,1121,30676,-1636085992
13861,14600,17622,3141,29781,567,15401,24171,114373894
2116,31929,15984,7785,26051,27173,12555,12746,-2224804703
3684,27379,25090,6605,9283,6487,4811,12105,-688148520
15707,11447,16125,17636,10169,14238,29247,31781,-2070746370
25583,10560,11218,30978,8512,15423,9728,23832,-1585034200
1466,1313,414,3781,1708,12628,15543,1224,-50286843
18626,31170,4,15574,22956,20249,25471,19025,-999979985
17017,6936,6327,17537,23680,17779,11355,31662,-694925741
12082,11827,6387,9948,4466,20449,18268,11420,-836381823
12640,30172,32076,24294,23395,500,1584,17953,-412696738
19210,27600,8031,15354,411,584,19378,7045,-544056101
14559,25893,17779,4086,12688,31894,24052,21417,-2312497492
4391,5286,425,5433,31357,946,23062,15575,76523077
31688,11719,3657,15387,5978,21479,28897,22428,-1026166281
3170,17499,13352,30205,12184,5057,5747,10610,-894159678
2232,14663,15177,11231,3080,22941,10365,16697,-1348710000
12844,11790,26848,23468,8219,15986,26780,3940,-1788770161
5828,3267,4704,13540,15536,30630,7024,32224,-957783745
13690,1548,1103,31113,32399,13291,4252,25824,-770403234
20585,704,27337,25787,28750,531,23745,4465,-345662178
19704,4599,31162,10795,24354,4676,25845,4146,-783561847
7864,21025,25258,22276,14688,23407,14062,2770,-1587071604
485,31960,17598,20464,2530,4919,7107,28903,-1745107814
10164,14610,1849,14789,26394,6336,18408,17475,-233589037
9171,28856,32231,15334,1464,23542,9399,30085,-2860337778
26530,5420,7080,2628,30390,61,9752,13401,1403256924
27392,27914,16102,19663,21757,17574,8633,18347,-788777052
25081,23194,20143,1588,4251,28958,16489,27755,-1882540311
12003,19570,24339,5620,9198,5327,29851,228,-1443368884
32622,3198,14241,29773,499,13212,14597,14681,-1341919121
11381,5730,27667,22369,18608,3612,26380,6031,-1347378252
6410,7927,31496,12429,13786,20064,13596,29221,-1724208109
4790,26550,32175,29906,4706,15568,23652,16893,-3314032592
19291,10076,8640,30060,17376,30700,15393,8884,-748388154
4592,9112,31503,21672,9213,16473,863,15738,-952145380
16585,10648,16090,377,20559,29019,9358,25820,-256702490
18171,7486,13508,27239,6076,14321,533,8138,-451358646
15628,3754,14302,17506,31529,945,12823,29843,-433309148
7633,16204,14782,4056,14981,26039,10636,25858,-1139384809
32566,32730,21009,31058,15795,6535,21388,22873,-1718504594
25956,13448,28989,30603,9454,2053,7164,963,-38773092
7058,20256,2485,7984,18785,27666,6961,13865,-1111647486
9978,28523,13038,15228,16817,9633,2977,7450,-518495254
21143,12609,13947,30291,17013,16636,8273,19433,-1108208009
13168,23183,16493,27264,3126,31871,31182,2123,-2539754692
14276,16677,14100,1953,28238,7743,2852,4271,450836754
32691,19024,7228,27785,19892,25111,10723,24002,-1143688694
9667,224,1764,26170,32215,6150,20040,642,515757610
21768,8697,25180,3105,2880,127,8521,13624,-390562816
2444,11675,4630,8746,18673,26540,25544,10558,-949684528
1827,15144,30008,21900,28200,27589,23599,13941,-2759542168
25243,16328,17629,19200,28917,27266,14182,26494,-947933851
10329,27972,18309,13085,6232,16815,30811,16787,-2379548006
20190,21920,8209,13471,369,15887,28319,25627,-1836987708
10484,31950,13757,4170,21761,28186,15221,17823,-1912282202
5659,7942,31313,32492,22789,10135,24250,17256,-2543131770
4939,31514,30997,14162,31614,27058,18161,20620,-3103053383
3853,7642,7888,10336,9537,18187,17201,27263,-1039450213
26683,28307,3905,30315,23347,9619,1907,17854,-396063989
7140,29031,6770,29378,23539,15743,14642,22497,-2098022326
19969,13186,11024,28657,27725,18027,11277,24590,-1026154453
18189,26743,19394,6654,21980,3170,23231,21197,-553188932
17349,2792,25497,16517,30416,14139,5785,22516,-62398975
2631,20165,32517,24340,25445,19517,4588,32274,-2522745653
31057,25528,20109,262,22867,14617,7694,16611,355895913
24934,13272,15278,23649,22251,28018,4818,28033,-1107251667
19334,31796,14819,32278,30471,25789,18258,26415,-2708140824
32296,13696,25558,29535,10365,18609,32035,25674,-2994360560
20406,13788,3983,25547,2384,3632,20248,17656,-1066280362
18490,19469,32357,32265,3998,19898,16399,17117,-2792764929
30704,5146,21840,22839,18487,20026,18950,6046,-174815108
11669,25083,20357,12390,6166,3701,32057,10911,-1617335580
31484,23719,13846,23313,20607,2097,11844,30654,-559173060
27465,24064,27988,9698,4054,14286,31518,32469,-2858938824
12202,11851,8253,12395,22523,25964,32089,4149,-698291276
31700,8598,16945,21126,11690,30089,10127,12280,-638362779
21878,8801,6549,13814,6517,32033,21704,21288,-1151159724
98,30796,30680,18548,5145,21989,27082,30018,-4128679444
22826,7664,22786,16520,23562,19576,30964,5085,-803563631
20075,22362,18145,4047,15458,29616,23095,6699,-1596271115
4040,20568,3658,11896,2880,18577,31130,20999,-1468327766
11370,12554,27330,17877,3338,29643,32222,16148,-3007008610
4689,22479,24179,1318,28207,9811,31575,2118,-1709067686
